"cycle_id","pond_id","total_seed","started_at","finished_at","area","deep","total_feed","total_weight","harvested_at","status","sampled_at","average_weight","days_difference","adg","fcr","stocking_density","pond_type"
"14822","12542","246000","2022-05-08 00:00:00+07","2022-08-13 00:00:00+07","2600.1408","1.2","5420.0","3177.96","2022-08-13","Partial","2022-07-19","6.9860000000000000","25.0000000000000000","126.8389600000000000","1.7054966078868205","94.6102611058601134","intensif"
"20742","25578","228000","2022-10-22 00:00:00+07","2023-01-02 00:00:00+07","1700.1531","1.7","2657.0","1771.42","2023-01-02","Full","2022-12-31","10.3325000000000000","2.0000000000000000","880.5437500000000000","1.4999266125481252","134.1055696689903986","supra intensif"
"20944","36095","448020","2022-08-16 00:00:00+07","2022-11-26 00:00:00+07","3025.00","1.2","10936.0","8793.10","2022-11-26","Partial","2022-11-24","11.9900000000000000","2.0000000000000000","4390.5550000000000000","1.2437024485107641","148.1057851239669421","intensif"
"17632","5","114000","2022-02-18 00:00:00+07","2022-05-23 00:00:00+07","1574.0316","1.1","1784.5","1378.55","2022-05-23","Partial","2022-05-19","14.2200000000000000","4.0000000000000000","341.0825000000000000","1.2944760799390664","72.4254837069344732","supra intensif"
"22445","35562","270000","2022-11-14 00:00:00+07","2023-02-12 00:00:00+07","1800.00","1.2","5755.896","2425.05","2023-02-12","Partial","2023-02-06","6.8444444444444444","6.0000000000000000","403.0342592592592593","2.3735164223418074","150.0000000000000000","supra intensif"
"14094","34691","300000","2022-12-16 00:00:00+07","2023-03-18 00:00:00+07","4999.9041","1.5","6527.0","5026.0","2023-03-18","Full","2023-03-15","11.4509090909090909","3.0000000000000000","1671.5163636363636364","1.2986470354158376","60.0011508220727674","intensif"
"14587","33163","60000","2022-06-05 00:00:00+07","2022-07-27 00:00:00+07","479.61","1.5","430.0","250.0","2022-07-26","Full","2022-07-26","6.6650000000000000","0.000000000000000000000000",NULL,"1.7200000000000000","125.1016450866328892","Undefined"
"16156","33522","364943","2022-10-10 00:00:00+07","2022-12-22 00:00:00+07","1600.00","2.0","4887.0","4011.40","2022-12-22","Partial","2022-12-14","7.6642857142857143","8.0000000000000000","500.4669642857142857","1.2182779079623074","228.0893750000000000","supra intensif"
"20971","32306","175000","2022-09-05 00:00:00+07","2022-11-17 00:00:00+07","1500.0205","1.7","1766.5","623.67","2022-11-17","Full","2022-11-09","6.2600000000000000","8.0000000000000000","77.1762500000000000","2.8324274055189443","116.6650722440126652","supra intensif"
"19367","36822","326192","2022-11-16 00:00:00+07","2023-01-20 00:00:00+07","1024.00","1.3","2672.670","2212.28","2023-01-20","Partial","2023-01-14","4.7400000000000000","6.0000000000000000","367.9233333333333333","1.2081065687887609","318.5468750000000000","supra intensif"
"16465","12085","240000","2022-05-10 00:00:00+07","2022-08-05 00:00:00+07","1600.0216","1.6","3143.0","1591.72","2022-08-05","Partial","2022-08-03","7.7455555555555556","2.0000000000000000","791.9872222222222222","1.9745935214736260","149.9979750273371309","supra intensif"
"16091","2","84000","2022-08-06 00:00:00+07","2022-10-03 00:00:00+07","1081.70","1.1","423.0","187.7","2022-10-03","Full","2022-10-01","6.5400000000000000","2.0000000000000000","90.5800000000000000","2.2535961640916356","77.6555422020893039","supra intensif"
"19615","13251","200000","2022-11-29 00:00:00+07","2023-03-09 00:00:00+07","2019.948","3.0","4985.0","3944.0","2023-03-11","Partial","2023-03-08","12.9077777777777778","3.0000000000000000","1310.3640740740740741","1.2639452332657201","99.0124498254410510","intensif"
"20671","37707","115000","2023-01-09 00:00:00+07","2023-04-16 00:00:00+07","780.00","1.3","1658.671","1279.45","2023-04-17","Partial","2023-04-10","2.2002222222222222","7.0000000000000000","182.4642539682539683","1.2963937629450154","147.4358974358974359","supra intensif"
"20671","37707","115000","2023-01-09 00:00:00+07","2023-04-16 00:00:00+07","780.00","1.3","1658.671","1279.45","2023-04-17","Partial","2023-04-10","2.2002222222222222","7.0000000000000000","182.4642539682539683","1.2963937629450154","147.4358974358974359","supra intensif"
"20671","37707","115000","2023-01-09 00:00:00+07","2023-04-16 00:00:00+07","780.00","1.3","1658.671","1279.45","2023-04-17","Partial","2023-04-10","2.2002222222222222","7.0000000000000000","182.4642539682539683","1.2963937629450154","147.4358974358974359","supra intensif"
"20671","37707","115000","2023-01-09 00:00:00+07","2023-04-16 00:00:00+07","780.00","1.3","1658.671","1279.45","2023-04-17","Partial","2023-04-10","2.2002222222222222","7.0000000000000000","182.4642539682539683","1.2963937629450154","147.4358974358974359","supra intensif"
"12491","33364","180000","2022-04-22 00:00:00+07","2022-07-21 00:00:00+07","1600.00","1.3","4580.100","4600.0","2022-07-20","Failed","2022-07-01","13.9500000000000000","19.0000000000000000","241.3710526315789474","0.99567391304347826087","112.5000000000000000","supra intensif"
"12868","12537","207000","2022-05-08 00:00:00+07","2022-08-12 00:00:00+07","2199.9792","1.2","4636.0","2324.12","2022-08-12","Partial","2022-07-19","6.6060000000000000","24.0000000000000000","96.5630833333333333","1.9947334905254462","94.0917986860966686","intensif"
"19808","33291","125000","2022-09-15 00:00:00+07","2022-11-05 00:00:00+07","750.00","1.0","568.7","475.45","2022-11-05","Full","2022-11-01","3.2150000000000000","4.0000000000000000","118.0587500000000000","1.1961299821222000","166.6666666666666667","supra intensif"
"20669","21959","312500","2021-04-07 00:00:00+07","2021-07-30 00:00:00+07","2500.142","1.5","6515.8","4119.54","2021-07-30","Partial","2021-07-26","10.5428571428571429","4.0000000000000000","1027.2492857142857143","1.5816814498706166","124.9929004032570950","intensif"
"18789","32208","75000","2022-04-25 00:00:00+07","2022-06-28 00:00:00+07","700.00","1.0","295.2","120.0","2022-06-28","Full","2022-06-28","6.1266666666666667","0.000000000000000000000000",NULL,"2.4600000000000000","107.1428571428571429","supra intensif"
"20407","12522","300000","2021-05-24 00:00:00+07","2021-08-17 00:00:00+07","2999.9475","1.5","6546.0","2322.84","2021-08-17","Partial","2021-08-20","11.4514285714285714","-3.0000000000000000","-770.4628571428571429","2.8181019786123883","100.0017500306255359","intensif"
"16573","19154","557700","2022-07-01 00:00:00+07","2022-10-07 00:00:00+07","3717.12","1.5","11772.0","8656.0","2022-10-07","Partial","2022-10-06","13.8685714285714286","1.00000000000000000000","8642.13142857142857140000","1.3599815157116451","150.0355113636363636","intensif"
"17882","38467","150000","2023-04-30 00:00:00+07","2023-07-11 00:00:00+07","625.00","1.5","592.7","240.0","2023-07-11","Full","2023-07-11","4.7600000000000000","0.000000000000000000000000",NULL,"2.4695833333333333","240.0000000000000000","supra intensif"
"20216","31344","103708","2022-03-22 00:00:00+07","2022-06-17 00:00:00+07","1116.00","1.0","1708.6","500.25","2022-06-17","Partial","2022-06-10","6.7128571428571429","7.0000000000000000","70.5053061224489796","3.4154922538730635","92.9283154121863799","supra intensif"
"14693","38700","60000","2023-02-17 00:00:00+07","2023-04-25 00:00:00+07","360.00","1.0","428.6","350.0","2023-04-25","Partial","2023-04-18","5.0350000000000000","7.0000000000000000","49.2807142857142857","1.2245714285714286","166.6666666666666667","Undefined"
"18367","12568","235600","2022-05-16 00:00:00+07","2022-08-03 00:00:00+07","2199.9792","1.5","4564.0","2280.01","2022-08-03","Partial","2022-07-04","5.0750000000000000","30.0000000000000000","75.8311666666666667","2.0017456063789194","107.0919215963496382","intensif"
"15868","7371","308200","2022-09-19 00:00:00+07","2023-01-20 00:00:00+07","2000.0172","1.25","5659.5","3114.7","2023-01-20","Partial","2022-12-21","6.1310000000000000","30.0000000000000000","103.6189666666666667","1.8170289273445276","154.0986747513971380","intensif"
"23531","35456","341280","2022-09-09 00:00:00+07","2022-11-14 00:00:00+07","2500.00","1.2","3630.0","816.0","2022-11-11","Partial","2022-11-09","4.7950000000000000","2.0000000000000000","405.6025000000000000","4.4485294117647059","136.5120000000000000","intensif"
"15836","34697","223000","2023-02-18 00:00:00+07","2023-06-20 00:00:00+07","4999.9041","1.5","7917.0","3740.0","2023-06-20","Full","2023-06-14","10.8687500000000000","6.0000000000000000","621.5218750000000000","2.1168449197860963","44.6008554444074237","intensif"
"18975","7","96000","2022-08-25 00:00:00+07","2022-10-15 00:00:00+07","1515.90","1.1","372.5","266.6","2022-10-15","Full","2022-10-09","3.8333333333333333","6.0000000000000000","43.7944444444444445","1.3972243060765191","63.3287156144864437","supra intensif"
"20663","30610","320000","2022-02-26 00:00:00+07","2022-04-24 00:00:00+07","1450.00","1.2","2407.6","1574.8","2022-04-24","Partial","2022-04-22","5.7250000000000000","2.0000000000000000","784.5375000000000000","1.5288290576581153","220.6896551724137931","supra intensif"
"22601","34722","180000","2023-01-26 00:00:00+07","2023-06-09 00:00:00+07","4999.9041","1.5","8123.0","4635.0","2023-06-09","Full","2023-06-07","15.0366666666666667","2.0000000000000000","2309.9816666666666667","1.7525350593311758","36.0006904932436604","intensif"
"15970","34727","300000","2022-07-25 00:00:00+07","2022-11-23 00:00:00+07","4999.9041","1.5","8934.0","4783.0","2022-11-23","Full","2022-11-23","8.4805000000000000","0.000000000000000000000000",NULL,"1.8678653564708342","60.0011508220727674","intensif"
"18253","36834","341372","2022-11-15 00:00:00+07","2023-01-18 00:00:00+07","1024.00","1.3","2842.582","1913.76","2023-01-18","Partial","2023-01-14","5.1400000000000000","4.0000000000000000","477.1550000000000000","1.4853388094640916","333.3710937500000000","supra intensif"
"18427","36818","285670","2022-11-15 00:00:00+07","2023-01-25 00:00:00+07","1024.00","1.3","3097.085","2765.46","2023-01-25","Partial","2023-01-21","5.7342857142857143","4.0000000000000000","689.9314285714285714","1.1199167588755578","278.9746093750000000","supra intensif"
"21350","34710","250000","2022-08-12 00:00:00+07","2022-12-24 00:00:00+07","4999.9041","1.5","10329.0","6225.0","2022-12-28","Full","2022-12-21","10.6083333333333333","7.0000000000000000","887.7702380952380952","1.6592771084337349","50.0009590183939728","intensif"
